,X,X2007.2008,X2008.2009,X2009.2010,X2010.2011,X2011.2012,X2012.2013,X2013.2014,X2014.2015,X2015.2016,X2016.2017,X2017.2018
1,National,2.2,2.4,2.3,2.5,2.4,2.2,2,2,2.1,2.2,2.2
2,Region1,1.4,1.5,1.2,1.4,1.1,1,1.2,1.2,1.3,1.4,1.4
3,Region2,3,2.9,2.3,2.4,2.5,2,2.2,2.3,2.3,3,3.1
4,Region3,3.6,3.5,3,2.6,2.5,2.2,2,2,1.8,2.2,2
5,Region4,1.8,2,2,2.3,2.3,2.3,1.9,1.9,1.6,1.7,1.9
6,Region5,2.6,1.9,1.7,1.8,1.6,1.5,1.6,1.7,1.9,1.9,1.8
7,Region6,4.1,4.6,4.8,4.9,4.3,3.4,2.9,3.2,3.6,4.1,4.2
8,Region7,1.9,1.8,1.9,2.3,2.3,2.1,1.8,1.7,1.7,1.8,1.9
9,Region8,1.6,1.5,1.3,1.7,2.1,1.9,1.3,1.3,1.4,1.4,1.3
10,Region9,3.4,2.7,2.8,4.1,3.9,3.5,2.9,2.7,2.6,2.5,2.4
11,Region10,3.3,3.5,3.3,2.2,2.2,1.4,1.3,1.1,1.1,1.1,1.4
